,text
1776,"Alors que l’Égypte le déchoit de sa nationalité, le Président français choisit son camp en accueillant un ami des Frères musulmans. Moi, j’interdirai cette mouvance dangereuse dans notre pays. « EmmanuelMacron: Je salue la décision des autorités égyptiennes de remettre Ramy Shaath en liberté. Je partage le soulagement de son épouse Céline Le Brun, qu’il retrouve en France, avec qui nous n’avons rien lâché. Merci à tous ceux qui ont joué un rôle positif dans cette heureuse issue. — https://twitter.com/EmmanuelMacron/status/1479816001743200258 »"
2086,"L’ancien ministre de l’Intérieur le dit. Les Français le savent : arrêter l’immigration, c’est non seulement vital, mais c’est possible. Je le ferai ! « Europe1: ""Il faut suspendre le regroupement familial et notamment les mariages, puisque c'est la principale source de l'immigration et de la constitution de ghetto."" @manuelvalls dans #LeGrandRDV sur #Europe1 https://twitter.com/Europe1/status/1472508000254545924/video/1 — https://twitter.com/Europe1/status/1472508000254545924 »"
2071,Merci pour votre accueil et ce moment chaleureux. https://twitter.com/ZemmourEric/status/1473606665798832131/photo/1
2064,"Stopper les flux, mettre fin aux pompes aspirantes et renvoyer tous les étrangers indésirables : mon programme contre l’immigration.

➡️ http://programme.zemmour2022.fr

#ProgrammeZemmour https://twitter.com/ZemmourEric/status/1473709249196969990/photo/1"
67,"Le chiffre vient de tomber : 66% des Français sont d’accord avec moi sur la remigration. Toute la classe politique est contre moi. 

Faites le bon choix le 10 avril : votez Zemmour.

#Remigration https://twitter.com/ZemmourEric/status/1507271621853294597/photo/1"
382,"L’ensauvagement de la société, c’est Emmanuel Macron !

Le mépris des Gilets Jaunes, c’est lui !

Le grand déclassement, c’est lui !

Le grand remplacement, c’est lui ! https://twitter.com/ZemmourEric/status/1501570107134423041/video/1"
970,"Nouveau tract ! Je veux l'arrêt de l'immigration, la suppression de la loi SRU et la priorité aux Français dans le logement social. Valérie Pécresse veut exporter les cités du 93 dans tous les villages de France. Que préférez-vous ? https://twitter.com/ZemmourEric/status/1491008832696614918/photo/1"
144,"Je renverrai 1 million d’étrangers, criminels, délinquants, clandestins et fichés S !
#Remigration https://twitter.com/ZemmourEric/status/1506009922177323013/photo/1"
2230,Merci aux présidents de commissions et députés arméniens pour leur accueil et ces discussions au Parlement arménien. https://twitter.com/ZemmourEric/status/1470457396522848264/photo/1
1034,"Nous couperons les aides sociales aux étrangers extra-européens : RSA, allocations familiales, aides au logement. En tout, ce sont plus de vingt milliards d’euros par an qu’on arrêtera de vous prendre !
#ZemmourLille #PouvoirDAchat"
1745,"Nos enfants ne savent plus lire et écrire ? C’est normal, ils sont occupés à subir les leçons de propagande immigrationniste. J’y mettrai fin.
 #ZemmourEcole « SOSMedFrance: 💡 #ChiffreDuJour
Depuis déc 2015, les actions de #sensibilisation en milieu scolaire ont permis de rencontrer ~50 000 élèves pour leur présenter la situation en #Méditerranée et nos actions, dans le cadre de l’agrément donné à @SOSMedFrance par @education_gouv
#TogetherForRescue https://twitter.com/SOSMedFrance/status/1480804167790866434/photo/1 — https://twitter.com/SOSMedFrance/status/1480804167790866434 »"
1000,"Arrêtons avec ce mythe des immigrés qui travaillent et des Français qui ne travaillent pas. Aujourd’hui, 55 % des étrangers extra européens sont inactifs.
#le79Inter #Elysee2022"
544,"Pour aider les Ukrainiens qui fuient la guerre, la priorité doit être d’aider financièrement et logistiquement les pays européens frontaliers, en particulier la Pologne, à accueillir les femmes, enfants et personnes âgées. 
#RTLPresidentielle #LaVoixDeLaFrance"
2251,"La France doit cesser d'être généreuse et de donner des aides sociales à des gens qui ne travaillent pas. Le taux d'emploi des étrangers extra-européens est de 45 %, donc 55 % ne travaillent pas. Ils n'ont rien à faire en France.
#Élysée2022 https://twitter.com/ZemmourEric/status/1469358193721720845/video/1"
2097,Merci aux Alsaciens pour leur accueil à Husseren-les-Châteaux ! https://twitter.com/ZemmourEric/status/1472223672136048643/photo/1
1319,"Merci cher @G_Peltier pour ton accueil chez toi en Sologne ! Avec nous, la France rurale ne sera plus la France des oubliés. https://twitter.com/ZemmourEric/status/1487069178376900615/photo/1"
1156,Un grand merci à cette commerçante de Fessenheim pour son accueil chaleureux ! https://twitter.com/ZemmourEric/status/1489218023080837123/photo/1
2068,"Répondre au grand remplacement et au grand déclassement : nous pouvons le faire. Voici les principales mesures que je prendrai contre l'immigration, pour la justice, le pouvoir d'achat et la compétitivité de nos entreprises.

➡️ http://programme.zemmour2022.fr

#ProgrammeZemmour https://twitter.com/ZemmourEric/status/1473657605138657287/photo/1"
1566,Merci à l'Association de la Presse Étrangère en France pour leur invitation à échanger avec plus de 70 médias étrangers. https://twitter.com/ZemmourEric/status/1483123525875601409/photo/1
