text	local_time	like_count	user_screen_name	retweet_count	reply_count
"La droite veut supprimer l'Aide Médicale d'État pour les étrangers. Sauf que le microbe contamine tout le monde de la même manière. Cette absurdité est juste recopiée sur le catalogue de l'extrême droite qui répète cette bêtise en boucle depuis 20 ans.
#MelenchonMartinique https://twitter.com/JLMelenchon/status/1472318084837003265/video/1"	2021-12-18T21:29:20	705	JLMelenchon	286	89
"Je pense que si nous sommes solidaires de l'Ukraine c'est le moment de le manifester : on doit prendre notre part de réfugiés, accueillir ces pauvres gens qui subissent un sort auquel ils ne s'attendaient pas. 
#8h30FranceInfo https://twitter.com/JLMelenchon/status/1497122246875402241/video/1"	2022-02-25T08:12:13	703	JLMelenchon	205	67
"On a changé les tarifs d'inscription dans les universités en les rendant inaccessibles pour des milliers d'étudiants étrangers. C'est une absurdité totale.  
 
Avec mon programme, ils bénéficieront comme tout le monde de l'allocation d'autonomie de 1063€

#MelenchonSorbonne https://twitter.com/JLMelenchon/status/1493690622267568132/video/1"	2022-02-15T20:56:10	676	JLMelenchon	231	99
Je fais une proposition. Nous, Français, pouvons proposer de fournir les Casques bleus à déployer pour protéger les centrales nucléaires ukrainiennes.  #Le19H45 https://twitter.com/JLMelenchon/status/1507436366325551113/video/1	2022-03-25T19:16:51	647	JLMelenchon	225	111
"Merci pour votre accueil incroyable ! 

#MelenchonStrasbourg 

https://youtu.be/tV57HeCoZzs https://twitter.com/JLMelenchon/status/1483891874435932169/video/1"	2022-01-19T19:59:26	633	JLMelenchon	187	14
"Je ne veux pas que la Russie passe la frontière ukrainienne, ni que l'Ukraine entre dans l'OTAN. Si je suis Président de la République, la France sera non alignée. C'est la position française traditionnelle : nous ne voulons plus de guerre sur le territoire européen. 
#Elysée2022 https://twitter.com/JLMelenchon/status/1491879695109005319/video/1"	2022-02-10T21:00:11	619	JLMelenchon	243	52
"Il faut donner les moyens d'accueillir à l'école, parmi leurs petits camarades, les enfants qui souffrent d'un handicap.

Pour cela, il faut des AESH, qui sont en pleine vague revendicative. Nous leur donnerons un vrai statut et une paie décente !

#LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494439592891752449/video/1"	2022-02-17T22:32:18	588	JLMelenchon	188	31
"Sur l’immigration, la première des choses c’est une politique qui s’occupe réellement de faire en sorte que les gens n’aient pas besoin de partir.

Mais une fois qu’ils sont là, je refuse de les maltraiter, il faut traiter les gens humainement.

#FaceABaba
#AvecMelenchon https://twitter.com/JLMelenchon/status/1486811589865054208/video/1"	2022-01-27T21:21:21	557	JLMelenchon	202	55
"Je n'embarquerai pas la souveraineté de la France. Quand le président de la République dit : « nous garantirons l'intégralité territoriale de l'Ukraine », alors que le menace n'existe pas selon les ukrainiens eux-mêmes, il fait une bravade qui ne nous mène nulle part.
#Cdanslair https://twitter.com/JLMelenchon/status/1487884856088485891/video/1"	2022-01-30T20:26:07	529	JLMelenchon	290	277
"La position d'un non-aligné, ça ne veut pas dire la neutralité. Ça veut dire que vous avez des principes politiques. L'un de ses principes est : on n'envahit pas le voisin. Donc je ne suis pas d'accord pour accepter que les Russes agressent leur voisin ukrainien.

#Elysee2022 https://twitter.com/JLMelenchon/status/1507082900184969227/video/1"	2022-03-24T19:52:18	526	JLMelenchon	204	16
"La comédie ukrainienne - Nouvelle note de blog à découvrir et partager 

#Ukraine #Russie #OTAN 

https://melenchon.fr/2022/02/07/la-comedie-ukrainienne/"	2022-02-07T11:51:49	464	JLMelenchon	246	44
"Le choix systématique de la paix fait de la France une force commise d’office, dans chaque cas, du côté du droit international.

En #Ukraine ce droit est du côté des ukrainiens.

#DirectAN 

http://youtu.be/H5tRHt2UW0E"	2022-03-01T15:37:26	403	JLMelenchon	153	13
Avant le meeting du #Lamentin en #Martinique, passage par le marché de #RivièrePilote avec @MathildePanot et @mbompard pour saluer les commerçants et les habitants. Merci pour l'accueil ! https://twitter.com/JLMelenchon/status/1472234835162943489/photo/1	2021-12-18T15:58:32	401	JLMelenchon	147	57
"@TrouveAurelie @AQuatennens @Clem_Autain @Francois_Ruffin @Deputee_Obono @alexiscorbiere @MathildePanot C'est à nous qu'on demande des comptes alors que ça fait 30 ans qu'ils votent sans arrêt des lois sur la sécurité et l'immigration, et pour quel résultat ? 

La diminution des libertés ! 

Nous voici arrivés au 34e rang pour la liberté de la presse ! 

#MarchePourLa6eRepublique https://twitter.com/JLMelenchon/status/1505567169362419713/photo/1"	2022-03-20T15:29:19	364	JLMelenchon	154	15
"@CarolineFiat54 @GeoffroyRDB On est à 60 jours de l'élection. On parle de la sécurité et de l'immigration. Mais on a un mal de chien à faire émerger d'autres sujets. Je veux que la France rayonne par sa culture. Nous sommes à la pointe dans le domaine des jeux vidéo. 

#Elysee2022 #Melenchon2022 https://twitter.com/JLMelenchon/status/1491896596321251337/photo/1"	2022-02-10T22:07:21	359	JLMelenchon	129	21
Monsieur Zemmour, je vous demande, combien comptez-vous expulser de ce que vous appelez des immigrés et qui sont, pour 5 millions d'entre eux des Français ? Avec vous la haine des musulmans ne s'arrête jamais, c'est encore le cas ce soir. #FaceABaba #AvecMelenchon https://twitter.com/JLMelenchon/status/1486809905403154433/video/1	2022-01-27T21:14:39	356	JLMelenchon	111	32
"C'est une absurdité d'avoir augmenté les frais d'inscription des étudiants étrangers. Nous avons intérêt à avoir des étudiants francophones partout dans le monde.  

#MelenchonSorbonne

https://youtu.be/sT6qeNbmHB8 https://twitter.com/JLMelenchon/status/1493686678791364613/photo/1"	2022-02-15T20:40:30	318	JLMelenchon	117	6
"Il faut augmenter la capacité d'accueil des universités de médecine. Il ne suffit pas de supprimer le numerus clausus pour augmenter le nombre de médecins.  

#LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494420154914160646/photo/1"	2022-02-17T21:15:04	300	JLMelenchon	131	9
"@TrouveAurelie @alirabeh C'est le droit qui est fondateur de la société, pas les devoirs. Comment certains en sont venus à avoir cette idée de fou qu'il faudrait ne pas accueillir à l'hôpital celles et ceux qui ne sont pas vaccinés ?   

#MelenchonNantes 

http://youtu.be/vdxHe12lUmI https://twitter.com/JLMelenchon/status/1482720579207806981/photo/1"	2022-01-16T14:25:08	275	JLMelenchon	135	9
"Il y a 10 ans que j'annonce que ça va mal finir en #Ukraine. 

https://desintoxmelenchon.fr/ukraine-melenchon-a-prevenu-pendant-10-ans/

#Elysee2022"	2022-03-24T19:32:53	274	JLMelenchon	125	20
"@DeputeRatenon @younousomarjee @HuguetteBello Peu de gens pensaient que Vladimir Poutine attaquerait militairement l'#Ukraine. Le président ukrainien #Zelensky lui-même disait aux Américains qu'ils exagéraient et que le danger n'était pas là. 

#ReunionLa1ere"	2022-02-25T15:24:20	269	JLMelenchon	70	36
Salut #Yvetot ! Ville de mes 14 ans cité Seminor. Mon premier livre sur la Révolution de 1789. « Michel_Larive: Avant le meeting de ce soir, déambulation sur le marché d'Yvetot avec des insoumis seino-marins. Un accueil chaleureux qui confirme la dynamique enclenchée par la candidature de @JLMelenchon et l'#UnionPopulaire. #JLM2022 https://twitter.com/Michel_Larive/status/1488812906347180032/photo/1 — https://twitter.com/Michel_Larive/status/1488812906347180032 »	2022-02-02T12:44:19	266	JLMelenchon	87	13
"@ZemmourEric Les immigrés cotisent 3 milliards d'euros de plus qu'ils ne coûtent à la France. 

Donc arrêtez avec vos histoires @ZemmourEric !

Vous êtes là pour diviser le peuple, je suis là pour l'unifier ! 

#FaceABaba #AvecMelenchon https://twitter.com/JLMelenchon/status/1486809968569425928/photo/1"	2022-01-27T21:14:54	258	JLMelenchon	124	39
"@CarolineFiat54 @Action_Insoumis Il faut se donner les moyens d'accueillir à l'école les enfants en situation de handicap. Il faut donc commencer par donner un statut, une paye décente et une formation aux #AESH. Il faut sécuriser cette profession. 

#LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494434048634150917/photo/1"	2022-02-17T22:10:17	257	JLMelenchon	119	16
"« Je voudrais exprimer notre solidarité vis-à-vis du peuple ukrainien. La raison du plus fort n'est jamais la meilleure. Fidèles à nos idéaux de paix, nous appelons à l'arrêt de cette guerre et au retour du dialogue. »

@HuguetteBello #MelenchonSaintDenis https://twitter.com/JLMelenchon/status/1497545641286942722/video/1"	2022-02-26T12:14:38	254	JLMelenchon	117	19
"Nous Français, nous avons été bernés. Nos autorités pensaient que les Russes n'interviendraient pas en #Ukraine et le président ukrainien #Zelensky disait de même. Les Américains disaient le contraire, ce sont eux qui avaient raison.   

#Le19h45 #M6"	2022-03-25T19:04:28	251	JLMelenchon	95	29
"@TrouveAurelie @AQuatennens @Clem_Autain @Francois_Ruffin @Deputee_Obono @alexiscorbiere @MathildePanot Je dédie notre rassemblement au peuple ukrainien qui résiste à l'invasion russe. Je dédie ce rassemblement aux Russes qui résistent courageusement à la guerre dans leur pays. 

#MarchePourLa6eRepublique
➡️ http://youtu.be/Zlwij7ZXLts https://twitter.com/JLMelenchon/status/1505558313316102144/photo/1"	2022-03-20T14:54:08	242	JLMelenchon	108	38
"@CarolineFiat54 La plupart des gens qui émigrent partent de chez eux dans la douleur. Pour moi, la France, qui est une grande puissance, doit lutter contre les causes du départ. Mais une fois que les gens sont là, il faut les accueillir dignement et humainement.  

#LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494423963807662082/photo/1"	2022-02-17T21:30:12	238	JLMelenchon	102	15
"@Clemence_Guette @JulieMaury1 @ManonAubryFr @ericcoquerel @HToucel @BernardPignerol ""Nous voulons refonder la police. Recruter, former, améliorer l'accueil des victimes. Nous voulons aussi faire de la lutte contre les violences faites aux femmes une priorité."" @BernardPignerol

#MelenchonChiffrage 

http://youtu.be/a3T_FuHbLCQ https://twitter.com/JLMelenchon/status/1502698663688163328/photo/1"	2022-03-12T17:30:54	205	JLMelenchon	106	8
"Le président ukrainien a fait preuve de beaucoup de sang-froid dans cette période. Je me suis beaucoup repéré à ce qu'il disait. 

#MelenchonUkraine 

http://youtu.be/o0_p7w1_rh8"	2022-02-22T13:00:08	194	JLMelenchon	74	10
"@KarineLebon @younousomarjee @DeputeRatenon ""Nous envoyons notre solidarité au peuple ukrainien. Nous qui avons vécu en d'autres temps l'oppression coloniale, nous savons que la loi du plus fort n'est pas la loi du plus juste."" @HuguetteBello
 
#MelenchonSaintDenis

https://youtu.be/W1qP6fN2oQA https://twitter.com/JLMelenchon/status/1497543478611353603/photo/1"	2022-02-26T12:06:02	192	JLMelenchon	92	16
"@leilachaibi @younousomarjee À #Strasbourg, ce soir, la première salle est pleine. 

La deuxième aussi. 

Il a fallu équiper le hall en urgence pour accueillir les derniers arrivés. 

Nous sommes 2500 ! 

Quelle force incroyable ! 

#MelenchonStrasbourg

https://youtu.be/tV57HeCoZzs https://twitter.com/JLMelenchon/status/1483889416569503751/photo/1"	2022-01-19T19:49:40	182	JLMelenchon	87	13
"@ManonAubryFr @ericcoquerel @AzzedineTAIBI ""Merci pour votre accueil. Je suis si heureuse et si émue d'être là avec vous. Pour moi, c'est l'espoir qu'un autre monde est possible. Il y a urgence. La situation est grave."" @TrouveAurelie 

#MelenchonParis 

https://youtu.be/jAcx3B3fi0I https://twitter.com/JLMelenchon/status/1467488705262804994/photo/1"	2021-12-05T13:39:06	165	JLMelenchon	77	13
"@ManonAubryFr @ericcoquerel @AzzedineTAIBI @TrouveAurelie Il y a ceux qui font la grande peur avec le grand remplacement : #Zemmour, #LePen... Il y a ceux qui font le grand démantèlement : #Macron, #Pécresse... Et puis il y a nous : le grand changement.   

#MelenchonParis 

https://youtu.be/jAcx3B3fi0I https://twitter.com/JLMelenchon/status/1467492835368869895/photo/1"	2021-12-05T13:55:31	138	JLMelenchon	72	5
"La guerre est une tuerie. Si la France entrait en guerre en #Ukraine, nous ne ferions qu'augmenter la tuerie et c'est le peuple ukrainien qui en serait d'abord victime.  

#MaFrance #FranceBleu https://twitter.com/JLMelenchon/status/1507333715613171713/photo/1"	2022-03-25T12:28:57	132	JLMelenchon	62	7
"@ManonAubryFr @ericcoquerel @AzzedineTAIBI @TrouveAurelie À toutes les élections, on parle de sécurité et d'immigration. Et pour quel résultat ? Ils ont voté 50 lois sur le sujet, une tous les 7 mois en moyenne ! Et pour quel résultat ?   

#MelenchonParis 

https://youtu.be/jAcx3B3fi0I https://twitter.com/JLMelenchon/status/1467502492237901827/photo/1"	2021-12-05T14:33:53	116	JLMelenchon	60	3
