text	local_time	like_count	user_screen_name	retweet_count	reply_count
"Le plus beau ralliement pour moi, c’est celui des Français. Je vous annonce ce soir que mon parti RECONQUÊTE!, a la joie d’accueillir sa cent millième adhérente. Elle vient de LR et je lui remettrai demain sa carte.
#ZemmourTF1 #DebatZemmourMacron 
https://twitter.com/i/status/1492947086454800385/video/1"	2022-02-13T20:52:10	2675	ZemmourEric	742	81
"Je veux voir Calais et montrer aux Français le symbole de cette ville sinistrée et éplorée par l’immigration folle. Calais est l’avenir de notre pays si nous continuons la politique migratoire actuelle d’Emmanuel Macron.
#ZemmourFerrari #LaMatinale
https://twitter.com/i/status/1483709913524232192/video/1"	2022-01-19T08:04:31	2334	ZemmourEric	735	109
"Emmanuel Macron est l’homme du grand déclassement et du grand remplacement. 

Je réponds à son intervention.
#Macron20h https://twitter.com/ZemmourEric/status/1471254090818719746/video/1"	2021-12-15T23:01:24	2449	ZemmourEric	679	82
"En Afrique, je ferai exactement le contraire d’Emmanuel Macron : je ne donnerai pas de leçons de démocratie, je ne me repentirai de rien et je serai très ferme sur l’immigration.
#le79Inter #Elysee2022
https://twitter.com/i/status/1490595987462803457/video/1"	2022-02-07T08:17:43	2076	ZemmourEric	638	44
"Je défends le peuple français qui ne pense plus que l’immigration est une chance pour la France.
#ZemmourVsMélenchon
https://twitter.com/i/status/1486827523602325507/video/1"	2022-01-27T22:37:21	2478	ZemmourEric	625	89
"Emmanuel Macron, c’est le grand reniement, le grand oubli, sur l’immigration, et le grand aveu, quand il dit que Mme Pécresse, s’il gagne, sera sa ministre.
#Elysee2022 #ZemmourVsMacron
https://twitter.com/i/status/1504547111949549572/video/1"	2022-03-17T20:04:53	1775	ZemmourEric	616	53
"Sur les 275 000 immigrés qui arrivent chaque année légalement, seuls 14 % viennent pour travailler. Il y a 55 % d’inactifs parmi les extra-européens en âge de travailler. Ces gens n’ont rien à faire ici.
#SudRadio #DebatZemmourMacron 
https://twitter.com/i/status/1492825681046257664/video/1"	2022-02-13T11:44:22	1819	ZemmourEric	606	50
"C'est la démographie qui fait l'histoire. Ce que M. Mélenchon appelle « créolisation », je l'appelle « grand remplacement », mais c'est exactement la même chose.
#ZemmourVsMélenchon
https://twitter.com/i/status/1486806515801538562/video/1"	2022-01-27T21:12:21	2389	ZemmourEric	599	57
"Emmanuel Macron se moque des Français et de ce qu’ils vivent. Je suis venu ici pour montrer ce qui se passe et que Macron, la droite et la gauche tolèrent. Il faut montrer cela aux Français. 
#ZemmourCollineDuCrack #Remigration
https://twitter.com/i/status/1507319611632631818/video/1"	2022-03-25T12:16:56	1501	ZemmourEric	591	32
"Dans tous les grands pays développés, on renvoie les clandestins et on fait tout pour qu’ils ne viennent plus. Et on peut faire mieux en supprimant le regroupement familial, en limitant le droit d’asile.
#ZemmourVsMélenchon
https://twitter.com/i/status/1486825625738432514/video/1"	2022-01-27T22:31:07	1961	ZemmourEric	510	44
"Il faut qu'il y ait un contrôle bien plus efficace des investissements étrangers. Des sociétés américaines rachètent nos pépites, nous piquent nos savoir-faire et M. Macron s’enorgueillit de cela, moi pas.
#GGRMC #ZemmourReconquete
https://twitter.com/i/status/1505845729599930371/video/1"	2022-03-21T11:13:39	1463	ZemmourEric	486	46
"Je suis là pour rassembler. Je me situe entre Valérie Pécresse et Marine Le Pen et j’accueille les électeurs des deux partis.
#HDPros
https://twitter.com/i/status/1488073049417072645/video/1"	2022-01-31T08:58:59	1600	ZemmourEric	462	55
"L’Immigration Zéro, Mme Le Pen dit que ce n’est qu’un slogan. Pour moi, c’est une volonté.
#DemandezLeProgramme
https://twitter.com/i/status/1499148869250297858/video/1"	2022-03-02T22:35:27	1565	ZemmourEric	431	71
