query,id,timestamp_utc,local_time,user_screen_name,text,possibly_sensitive,retweet_count,like_count,reply_count,lang,to_username,to_userid,to_tweetid,source_name,source_url,user_location,lat,lng,user_id,user_name,user_verified,user_description,user_url,user_image,user_tweets,user_followers,user_friends,user_likes,user_lists,user_created_at,user_timestamp_utc,collected_via,match_query,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,collection_time,url,place_country_code,place_name,place_type,place_coordinates,links,domains,media_urls,media_files,media_types,mentioned_names,mentioned_ids,hashtags,intervention_type,intervention_text,intervention_url
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1495389764022939659,1645363677,2022-02-20T13:27:57,EmmanuelMacron,"5 victoires en or, 7 en argent, 2 en bronze et des prouesses incroyables : bravo à nos champions olympiques, vous faites honneur à la France ! https://twitter.com/EmmanuelMacron/status/1495389764022939659/photo/1",0,869,6272,967,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:07.775079,https://twitter.com/EmmanuelMacron/statuses/1495389764022939659,,,,,,,https://video.twimg.com/tweet_video/FMCwv7pWUAIqTTv.mp4,1495389764022939659_FMCwv7pWUAIqTTv.mp4,animated_gif,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494681576726306829,1645194832,2022-02-18T14:33:52,EmmanuelMacron,"Une vision commune, une liste de projets concrets financés : bâtir une nouvelle alliance entre l’Afrique et l’Europe, nous sommes en train de le faire ! https://twitter.com/EmmanuelMacron/status/1494681576726306829/photo/1",0,433,2435,988,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:07.779300,https://twitter.com/EmmanuelMacron/statuses/1494681576726306829,BE,"Brussels, Belgium",city,"[[4.3139889, 50.7963282], [4.4369472, 50.7963282], [4.4369472, 50.9137064], [4.3139889, 50.9137064]]",,,https://pbs.twimg.com/media/FL4s94oXEAspY5m.jpg,1494681576726306829_FL4s94oXEAspY5m.jpg,photo,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494636541704081419,1645184095,2022-02-18T11:34:55,EmmanuelMacron,"Avec le transfert de technologie et la production de doses de vaccins en Afrique, le combat que nous menons aujourd’hui ensemble face à la pandémie est aussi un combat pour demain, dans la durée, pour l’accès de tous les continents aux vaccins, pour la souveraineté sanitaire. https://twitter.com/EmmanuelMacron/status/1494636541704081419/video/1",0,409,1831,869,fr,,,,Twitter Media Studio,https://studio.twitter.com,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:07.795980,https://twitter.com/EmmanuelMacron/statuses/1494636541704081419,,,,,,,https://video.twimg.com/amplify_video/1494617156062953490/vid/1280x720/X7JlXw_axhEV18Bd.mp4,1494636541704081419_X7JlXw_axhEV18Bd.mp4,video,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494606963900100608,1645177043,2022-02-18T09:37:23,EmmanuelMacron,"Une nouvelle page du biathlon français s’écrit aujourd’hui avec Justine Braisaz-Bouchet ! À 25 ans, après trois victoires en Coupe du monde et une médaille de bronze à Pyeongchang, elle s’offre sa première médaille d’or olympique avec une course d'anthologie. Bravo ! « EquipeFRA: 🇫🇷 JUSTINE BRAISAZ-BOUCHET CHAMPIONNE OLYMPIQUE 🥇

Une dernière course d'anthologie pour notre tricolore qui s'impose sans trembler sur cette mass start !! 

#AllezLesBleus #Pekin2022 https://twitter.com/EquipeFRA/status/1494579733417410561/photo/1 — https://twitter.com/EquipeFRA/status/1494579733417410561 »",0,323,2396,281,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,1494579733417410561,EquipeFRA,95402942,1645170551,2022-03-28T23:15:07.800200,https://twitter.com/EmmanuelMacron/statuses/1494606963900100608,,,,,https://twitter.com/EquipeFRA/status/1494579733417410561,twitter.com,https://pbs.twimg.com/media/FL3QCYqXMAwUXr1.jpg,1494579733417410561_FL3QCYqXMAwUXr1.jpg,photo,,,allezlesbleus|pekin2022,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494347693287780365,1645115228,2022-02-17T16:27:08,EmmanuelMacron,"L'Europe est le continent qui a le plus donné et exporté de vaccins vers l'Afrique. Maintenant, nous allons œuvrer au développement d'une autonomie sur le continent africain. https://twitter.com/EmmanuelMacron/status/1494347693287780365/video/1",0,539,2480,1017,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:07.802666,https://twitter.com/EmmanuelMacron/statuses/1494347693287780365,BE,"Brussels, Belgium",city,"[[4.3139889, 50.7963282], [4.4369472, 50.7963282], [4.4369472, 50.9137064], [4.3139889, 50.9137064]]",,,https://video.twimg.com/ext_tw_video/1494347626099228673/pu/vid/1280x720/qhn3sx9H-14VFt2_.mp4,1494347693287780365_qhn3sx9H-14VFt2_.mp4,video,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494344363761094661,1645114434,2022-02-17T16:13:54,EmmanuelMacron,"Le moment est de savoir si nous, Européens, bâtissons une nouvelle alliance, unique, conscients que la réussite ne peut être que commune. S'il y a un échec du continent africain, le premier à en pâtir sera le continent européen. Alors bâtissons !
https://twitter.com/i/broadcasts/1YpKkZegkEyxj",0,329,1251,452,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:07.805761,https://twitter.com/EmmanuelMacron/statuses/1494344363761094661,BE,"Brussels, Belgium",city,"[[4.3139889, 50.7963282], [4.4369472, 50.7963282], [4.4369472, 50.9137064], [4.3139889, 50.9137064]]",https://twitter.com/i/broadcasts/1YpKkZegkEyxj,twitter.com,,,,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494258926577201161,1645094064,2022-02-17T10:34:24,EmmanuelMacron,Nous ne pouvons pas rester engagés militairement aux côtés d'autorités de fait dont nous ne partageons ni la stratégie ni les objectifs cachés. C'est la situation à laquelle nous sommes confrontés au Mali. La lutte contre le terrorisme ne doit pas tout justifier. https://twitter.com/EmmanuelMacron/status/1494258926577201161/video/1,0,485,2077,517,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:07.808073,https://twitter.com/EmmanuelMacron/statuses/1494258926577201161,,,,,,,https://video.twimg.com/ext_tw_video/1494258274132185092/pu/vid/1280x720/S-ZXiznIUVGGgica.mp4,1494258926577201161_S-ZXiznIUVGGgica.mp4,video,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494255285841666050,1645093196,2022-02-17T10:19:56,EmmanuelMacron,"Des résultats considérables. Et des sacrifices. Nous n’oublions pas nos soldats tombés, ni nos blessés, ni leurs familles. https://twitter.com/EmmanuelMacron/status/1494255285841666050/video/1",0,294,1418,251,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:07.810432,https://twitter.com/EmmanuelMacron/statuses/1494255285841666050,,,,,,,https://video.twimg.com/ext_tw_video/1494254853589245955/pu/vid/1280x720/ix9GAhH3GdOSQ6HZ.mp4,1494255285841666050_ix9GAhH3GdOSQ6HZ.mp4,video,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494251527590006785,1645092300,2022-02-17T10:05:00,EmmanuelMacron,Que se serait-il passé en 2013 si la France n'avait pas fait le choix d'intervenir ? https://twitter.com/EmmanuelMacron/status/1494251527590006785/video/1,0,316,1601,439,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:08.855804,https://twitter.com/EmmanuelMacron/statuses/1494251527590006785,,,,,,,https://video.twimg.com/ext_tw_video/1494250914231861251/pu/vid/1280x720/5gOaJVLimKDF8qiZ.mp4,1494251527590006785_5gOaJVLimKDF8qiZ.mp4,video,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494248222881157120,1645091512,2022-02-17T09:51:52,EmmanuelMacron,"Depuis 2013, à la demande des autorités maliennes et des autorités de la région, la France a joué un rôle fédérateur de cette mobilisation internationale en faveur du Sahel. Nous continuerons à assurer ce rôle. https://twitter.com/EmmanuelMacron/status/1494248222881157120/video/1",0,247,1069,219,fr,,,,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:08.858366,https://twitter.com/EmmanuelMacron/statuses/1494248222881157120,,,,,,,https://video.twimg.com/ext_tw_video/1494247856793866244/pu/vid/1280x720/sRByhWN7XqU8laYH.mp4,1494248222881157120_sRByhWN7XqU8laYH.mp4,video,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494041391046926337,1645042200,2022-02-16T20:10:00,EmmanuelMacron,Oui je crois en une nouvelle alliance entre l’Afrique et l’Europe. https://twitter.com/EmmanuelMacron/status/1494041391046926337/video/1,0,464,2006,786,fr,,,,Twitter Media Studio,https://studio.twitter.com,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:08.860753,https://twitter.com/EmmanuelMacron/statuses/1494041391046926337,,,,,,,https://video.twimg.com/amplify_video/1494029116185665540/vid/1280x720/xISyUimk37m4Dh1I.mp4,1494041391046926337_xISyUimk37m4Dh1I.mp4,video,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494037702752280582,1645041320,2022-02-16T19:55:20,EmmanuelMacron,"Maintenant, emmenons nos partenaires européens vers ce partenariat d’égal à égal avec l'Afrique, pas seulement dans les crises, mais aussi pour faire des choses nouvelles et innovantes. Nous avancerons dans cette voie dès demain à Bruxelles, ensemble.",,190,858,197,fr,EmmanuelMacron,1976143068,1494036465109581832,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:08.862680,https://twitter.com/EmmanuelMacron/statuses/1494037702752280582,,,,,,,,,,,,,,,
(from:EmmanuelMacron) until:2022-03-27 since:2021-12-01,1494036626275815433,1645041064,2022-02-16T19:51:04,EmmanuelMacron,"Maintenant, emmenons nos partenaires européens vers ce partenariat d’égal à égal avec l'Afrique, pas seulement dans les crises, mais aussi pour faire ensemble des choses nouvelles et innovantes. Nous avancerons dans cette voie dès demain à Bruxelles, ensemble.",,0,0,0,fr,EmmanuelMacron,1976143068,1494036465109581832,Twitter for iPhone,http://twitter.com/download/iphone,France,,,1976143068,Emmanuel Macron,1,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",http://elysee.fr,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,11218,8033020,725,220,13058,2013-10-20T19:35:28,1382297728,scraping,1,,,,,,,,,2022-03-28T23:15:08.864427,https://twitter.com/EmmanuelMacron/statuses/1494036626275815433,,,,,,,,,,,,,,,
