text	local_time	like_count	user_screen_name	retweet_count	reply_count
"Contrairement à Mme Pécresse, je supprimerai le droit du sol, je supprimerai le regroupement familial, j’expulserai les délinquants étrangers, je déchoirai de la nationalité française les délinquants bi-nationaux et je les expulserai.
#ZemmourVsPecresse #FaceAFaceTF1LCI"	2022-03-10T19:56:28	6103	ZemmourEric	2059	254
"Aux portes de l’Europe, à Melilla sur le continent africain, des milliers de migrants prennent d’assaut la frontière espagnole.
Nous devons soutenir l’Espagne pour protéger nos nations. 
#AssautMelilla https://twitter.com/ZemmourEric/status/1499337347812495361/video/1"	2022-03-03T10:54:14	5943	ZemmourEric	2760	1151
"Je m’attendais à un accueil chaleureux en Vendée, mais pas à ce point !
#SablesdOlonne"	2022-01-08T10:34:34	5842	ZemmourEric	1032	119
À l'entrée sur notre sol, j'imposerai une caution de 10 000 euros pour les étrangers venant des principaux pays qui ne reprennent pas leurs clandestins. S'ils repartent au terme de leur visa, cette caution leur sera rendue. Sinon, elle servira à financer leur expulsion. https://twitter.com/ZemmourEric/status/1502770513738977286/video/1	2022-03-12T22:16:25	5790	ZemmourEric	2164	425
Aujourd’hui le ministère de l’Intérieur a encore publié des chiffres migratoires catastrophiques. J’ai voulu venir voir les policiers aux frontières. Je serai le Président de la fin de l’immigration. https://twitter.com/ZemmourEric/status/1484554030840004609/photo/1	2022-01-21T15:50:37	5786	ZemmourEric	1802	179
Alors que l’Égypte le déchoit de sa nationalité, le Président français choisit son camp en accueillant un ami des Frères musulmans. Moi, j’interdirai cette mouvance dangereuse dans notre pays. « EmmanuelMacron: Je salue la décision des autorités égyptiennes de remettre Ramy Shaath en liberté. Je partage le soulagement de son épouse Céline Le Brun, qu’il retrouve en France, avec qui nous n’avons rien lâché. Merci à tous ceux qui ont joué un rôle positif dans cette heureuse issue. — https://twitter.com/EmmanuelMacron/status/1479816001743200258 »	2022-01-09T11:29:07	5732	ZemmourEric	2030	220
"L’ancien ministre de l’Intérieur le dit. Les Français le savent : arrêter l’immigration, c’est non seulement vital, mais c’est possible. Je le ferai ! « Europe1: ""Il faut suspendre le regroupement familial et notamment les mariages, puisque c'est la principale source de l'immigration et de la constitution de ghetto."" @manuelvalls dans #LeGrandRDV sur #Europe1 https://twitter.com/Europe1/status/1472508000254545924/video/1 — https://twitter.com/Europe1/status/1472508000254545924 »"	2021-12-19T13:40:40	5706	ZemmourEric	1700	399
Merci pour votre accueil et ce moment chaleureux. https://twitter.com/ZemmourEric/status/1473606665798832131/photo/1	2021-12-22T10:49:42	5564	ZemmourEric	1028	261
"Le chiffre vient de tomber : 66% des Français sont d’accord avec moi sur la remigration. Toute la classe politique est contre moi. 

Faites le bon choix le 10 avril : votez Zemmour.

#Remigration https://twitter.com/ZemmourEric/status/1507271621853294597/photo/1"	2022-03-25T08:22:13	5549	ZemmourEric	2226	305
"Stopper les flux, mettre fin aux pompes aspirantes et renvoyer tous les étrangers indésirables : mon programme contre l’immigration.

➡️ http://programme.zemmour2022.fr

#ProgrammeZemmour https://twitter.com/ZemmourEric/status/1473709249196969990/photo/1"	2021-12-22T17:37:19	5549	ZemmourEric	1749	420
"L’ensauvagement de la société, c’est Emmanuel Macron !

Le mépris des Gilets Jaunes, c’est lui !

Le grand déclassement, c’est lui !

Le grand remplacement, c’est lui ! https://twitter.com/ZemmourEric/status/1501570107134423041/video/1"	2022-03-09T14:46:26	5422	ZemmourEric	1934	447
Nouveau tract ! Je veux l'arrêt de l'immigration, la suppression de la loi SRU et la priorité aux Français dans le logement social. Valérie Pécresse veut exporter les cités du 93 dans tous les villages de France. Que préférez-vous ? https://twitter.com/ZemmourEric/status/1491008832696614918/photo/1	2022-02-08T11:19:41	5387	ZemmourEric	1940	364
"Je renverrai 1 million d’étrangers, criminels, délinquants, clandestins et fichés S !
#Remigration https://twitter.com/ZemmourEric/status/1506009922177323013/photo/1"	2022-03-21T20:48:40	5364	ZemmourEric	1683	505
Merci aux présidents de commissions et députés arméniens pour leur accueil et ces discussions au Parlement arménien. https://twitter.com/ZemmourEric/status/1470457396522848264/photo/1	2021-12-13T18:15:37	5122	ZemmourEric	1106	166
"À l’heure où de plus en plus de Français ne se chauffent plus, ne se déplacent plus, ne mangent plus à leur faim, cette nouvelle sortie du ministre d’Emmanuel Macron est indigne !
Élu président, je bloquerai le prix de l’essence à 1,80 €.
#carburants « MarianneleMag: Guerre en #Ukraine : Bruno Le Maire appelle les Français à réduire leur consommation d’énergie https://www.marianne.net/politique/gouvernement/guerre-en-ukraine-bruno-le-maire-appelle-les-francais-a-reduire-leur-consommation-denergie?utm_medium=Social&utm_source=Twitter&Echobox=1646649935#xtor=CS2-5 — https://twitter.com/MarianneleMag/status/1500786110317879298 »"	2022-03-07T12:08:41	5118	ZemmourEric	1954	618
"Nous couperons les aides sociales aux étrangers extra-européens : RSA, allocations familiales, aides au logement. En tout, ce sont plus de vingt milliards d’euros par an qu’on arrêtera de vous prendre !
#ZemmourLille #PouvoirDAchat"	2022-02-05T18:38:42	4964	ZemmourEric	1302	147
"Nos enfants ne savent plus lire et écrire ? C’est normal, ils sont occupés à subir les leçons de propagande immigrationniste. J’y mettrai fin.
 #ZemmourEcole « SOSMedFrance: 💡 #ChiffreDuJour
Depuis déc 2015, les actions de #sensibilisation en milieu scolaire ont permis de rencontrer ~50 000 élèves pour leur présenter la situation en #Méditerranée et nos actions, dans le cadre de l’agrément donné à @SOSMedFrance par @education_gouv
#TogetherForRescue https://twitter.com/SOSMedFrance/status/1480804167790866434/photo/1 — https://twitter.com/SOSMedFrance/status/1480804167790866434 »"	2022-01-11T09:29:43	4880	ZemmourEric	1584	249
"Arrêtons avec ce mythe des immigrés qui travaillent et des Français qui ne travaillent pas. Aujourd’hui, 55 % des étrangers extra européens sont inactifs.
#le79Inter #Elysee2022"	2022-02-07T08:19:32	4858	ZemmourEric	1514	108
"Pour aider les Ukrainiens qui fuient la guerre, la priorité doit être d’aider financièrement et logistiquement les pays européens frontaliers, en particulier la Pologne, à accueillir les femmes, enfants et personnes âgées. 
#RTLPresidentielle #LaVoixDeLaFrance"	2022-02-28T08:14:22	4837	ZemmourEric	1413	270
"La France doit cesser d'être généreuse et de donner des aides sociales à des gens qui ne travaillent pas. Le taux d'emploi des étrangers extra-européens est de 45 %, donc 55 % ne travaillent pas. Ils n'ont rien à faire en France.
#Élysée2022 https://twitter.com/ZemmourEric/status/1469358193721720845/video/1"	2021-12-10T17:27:47	4766	ZemmourEric	1288	228
Merci aux Alsaciens pour leur accueil à Husseren-les-Châteaux ! https://twitter.com/ZemmourEric/status/1472223672136048643/photo/1	2021-12-18T15:14:10	4742	ZemmourEric	982	107
Merci cher @G_Peltier pour ton accueil chez toi en Sologne ! Avec nous, la France rurale ne sera plus la France des oubliés. https://twitter.com/ZemmourEric/status/1487069178376900615/photo/1	2022-01-28T14:24:55	4724	ZemmourEric	1254	118
Un grand merci à cette commerçante de Fessenheim pour son accueil chaleureux ! https://twitter.com/ZemmourEric/status/1489218023080837123/photo/1	2022-02-03T12:43:39	4723	ZemmourEric	942	105
"Répondre au grand remplacement et au grand déclassement : nous pouvons le faire. Voici les principales mesures que je prendrai contre l'immigration, pour la justice, le pouvoir d'achat et la compétitivité de nos entreprises.

➡️ http://programme.zemmour2022.fr

#ProgrammeZemmour https://twitter.com/ZemmourEric/status/1473657605138657287/photo/1"	2021-12-22T14:12:06	4598	ZemmourEric	1801	481
Merci à l'Association de la Presse Étrangère en France pour leur invitation à échanger avec plus de 70 médias étrangers. https://twitter.com/ZemmourEric/status/1483123525875601409/photo/1	2022-01-17T17:06:18	4585	ZemmourEric	1290	116
"Je condamne sans réserve l'usage de la force par la Russie et mes premières pensées vont aux populations victimes de ce conflit fratricide et à ceux de nos ressortissants qui se trouvent encore sur le territoire ukrainien.
#SpecialeUkraineFrance2 https://twitter.com/ZemmourEric/status/1497130963511435307/photo/1"	2022-02-25T08:46:51	4266	ZemmourEric	1125	391
"Emmanuel Macron le dit et le répète : il est à la fois pro-immigration et anti-assimilation. Il veut toujours plus d'étrangers et qu'ils soient toujours moins français. Il est favorable à la double peine pour notre identité. « leparisien_pol: «Une chance formidable pour la France» : Macron critique Zemmour sans le nommer sur sa vision de l’immigration
➡️ https://l.leparisien.fr/6kkr https://twitter.com/leparisien_pol/status/1490662299367088137/photo/1 — https://twitter.com/leparisien_pol/status/1490662299367088137 »"	2022-02-07T18:15:21	4190	ZemmourEric	1569	201
"Ce matin, je me suis rendu à la Colline du crack : un enfer à ciel ouvert. Macron a oublié les Français qui vivaient ce cauchemar. Je ne les abandonnerai pas.
#ZemmourCollineDuCrack #Remigration https://twitter.com/ZemmourEric/status/1507450193427451904/video/1"	2022-03-25T20:11:47	4187	ZemmourEric	1616	176
"Il y a quelques jours, l’association « SOS Méditerranée » se félicitait d’avoir « rencontré plus de 50 000 élèves depuis 2015 ». Désolé, mais ce n’est pas à l’école de servir de propagande pour les complices des passeurs, des mafias et de la gauche immigrationiste !
#SaintQuentin"	2022-01-14T21:04:23	4157	ZemmourEric	1250	47
"C’est grâce à l’expérience de ma mère que j’ai pu comprendre la régression inouïe que les femmes subissent aujourd’hui dans des quartiers où une immigration de masse a importé une civilisation islamique si cruelle avec les femmes.
#ZemmourVillepinte #RECONQUETE https://twitter.com/ZemmourEric/status/1467819445427052548/video/1"	2021-12-06T11:33:21	4119	ZemmourEric	952	181
Merci à cet hôtelier pour son accueil à l’Auberge des Glières. Je serai aux côtés de cette filière qui a beaucoup souffert. https://twitter.com/ZemmourEric/status/1497625236040306699/photo/1	2022-02-26T17:30:55	4066	ZemmourEric	1041	89
"Avec moi, Salah Abdeslam ne sortira jamais de prison. Nous supprimerons le régime de réduction des peines. J’expulserai les délinquants étrangers, qui sont 15 000 dans nos prisons.
#BonjourChezVous
https://twitter.com/i/status/1486264410922434560/video/1"	2022-01-26T09:26:09	3933	ZemmourEric	1169	125
"Je résume la politique de Mme Pécresse : elle ne s’engage qu’à renvoyer les clandestins, c’est-à-dire uniquement à respecter la loi. Mais elle ne touche pas à l’immigration légale et veut faire venir toujours plus d’immigrés pour le travail.
#ZemmourVsPecresse #FaceAFaceTF1LCI"	2022-03-10T20:03:33	3926	ZemmourEric	1375	178
"Les étrangers auront les droits que leurs contributions leur donnent. La solidarité nationale doit privilégier les Français. Nous devons être généreux avec les Français d’abord.
#BourdinDirect https://twitter.com/ZemmourEric/status/1468140155001184258/video/1"	2021-12-07T08:47:44	3876	ZemmourEric	977	330
"Les sympathisants de LR aiment passionnément la France. Quelle déconnexion avec leurs élites. « BenjaminCauchy: Aurelien PRADIE et les LR au conseil Régional d'Occitanie viennent de voter une subvention de 30 000 euro au profit de... #SosMediterranee. 

Comment croire qu'ils luttent contre l'immigration illégale en finançant ces passeurs institutionnels ? 

Vivement #Zemmour ! — https://twitter.com/BenjaminCauchy/status/1494640799845388290 »"	2022-02-18T19:10:44	3857	ZemmourEric	1395	132
"Je suis le seul à établir sans fausse pudeur le lien évident entre l'immigration venue de l’autre côté de la Méditerranée, et les menaces qui pèsent chaque jour davantage sur les femmes françaises, sur leur liberté et parfois sur leur vie.
#ZemmourVillepinte #RECONQUETE"	2021-12-05T17:17:59	3848	ZemmourEric	878	136
"Loin des contradicteurs et des adversaires, j’ai pu me livrer comme rarement. Merci à cette famille pour son accueil et merci à @Livrenoirmedia de m’avoir permis de révéler ces dimensions jusqu’ici trop discrètes de notre campagne.

➡️ https://youtu.be/AcXB3GyB4qs « Livrenoirmedia: 🔴 Eric #Zemmour était mardi dans une ferme du Dauphiné, loin des médias. En exclusivité, Livre Noir était présent. 

👉 Découvrez notre reportage en immersion et un grand entretien du candidat au bord d'un bon feu : https://youtu.be/AcXB3GyB4qs https://twitter.com/Livrenoirmedia/status/1474124410235899912/photo/1 — https://twitter.com/Livrenoirmedia/status/1474124410235899912 »"	2021-12-26T11:01:57	3837	ZemmourEric	1176	146
"Dès l'été de mon élection, je me rendrai au Maghreb. En commençant bien sûr par l'Algérie, j'entamerai une tournée pour remettre à plat nos relations et affirmer notre position : le respect, pas la repentance.

Ma tribune dans Le Figaro ⤵️

https://www.lefigaro.fr/vox/politique/eric-zemmour-60-ans-apres-je-mettrai-fin-aux-privileges-migratoires-de-l-algerie-20220319"	2022-03-19T12:31:43	3782	ZemmourEric	1315	390
Ce qu'il faut à la France, c'est couper le désordre à la source : arrêt de l’immigration, fin de la justice-passoire, déchéance de la nationalité et expulsions.	2022-01-10T14:10:56	3764	ZemmourEric	897	92
"Je veux accueillir temporairement les réfugiés ukrainiens qui sont nos frères européens et chrétiens. Je ne veux pas que des immigrés africains profitent de cela, comme c’est déjà le cas.
#Elysee2022 #ZemmourVsMacron https://twitter.com/ZemmourEric/status/1504562806976397313/video/1"	2022-03-17T20:58:21	3740	ZemmourEric	1186	447
Vous devriez vous parler avec Marine Le Pen, car elle n'a pas l’air tout à fait d'accord ! Contre le Grand Remplacement, votez Zemmour le 10 avril. « pierrecheynet: Sonia Mabrouk à Marine Le Pen : -La notion de grand remplacement vous est complètement étrangère ?   -Complètement. #Elysée2022 #CNews — https://twitter.com/pierrecheynet/status/1507105771703742469 » https://twitter.com/ZemmourEric/status/1507131388545355788/photo/1	2022-03-24T23:04:58	3731	ZemmourEric	1554	190
"Vous voulez continuer dans la voie du grand remplacement ? Votez Macron. 

Vous voulez que la France reste la France ? Votez pour moi. « ObservatoireID: 🔍SPÉCIAL : BILAN MIGRATOIRE du quinquennat MACRON.

📊RECORD : 1 278 374 nouveaux 1ers titres de séjour attribués en 2017-2021 aux ressortissants non-européens. Source : @Interieur_Gouv.

▶️Détail complet sur notre site : https://observatoire-immigration.fr/immigration-2022/

📢Faites-le savoir : PARTAGEZ ! https://twitter.com/ObservatoireID/status/1504072094879043591/photo/1 — https://twitter.com/ObservatoireID/status/1504072094879043591 »"	2022-03-16T12:59:00	3695	ZemmourEric	1718	171
"Vous n’en pouvez plus ? Je suis là pour ça, madame. Je ne vous abandonnerai pas.
#ZemmourCollineDuCrack #Remigration https://twitter.com/ZemmourEric/status/1507344170394042378/video/1"	2022-03-25T13:10:29	3624	ZemmourEric	1324	113
"Je souhaite de tout cœur que Marion Maréchal me rejoigne. Je l’accueillerais les bras ouverts. C’est une femme remarquable et je serais ravi de l’avoir à mes côtés.
#DemandezLeProgramme
https://twitter.com/i/status/1499135116211331088/video/1"	2022-03-02T21:39:24	3562	ZemmourEric	869	181
